"","avg_cloud_cover_4","avg_cloud_cover_8","avg_cloud_cover_10","date","rain","year","month","day"
"366",NA,8,NA,2020-11-23,9.4,2020,11,23
"367",NA,8,NA,2020-11-22,2.5,2020,11,22
"368",NA,5.5,NA,2020-11-21,0,2020,11,21
"369",NA,4.5,NA,2020-11-20,2.8,2020,11,20
"370",NA,5,NA,2020-11-19,5.3,2020,11,19
"371",NA,7,NA,2020-11-18,16.9,2020,11,18
"372",NA,6.5,NA,2020-11-17,4.5,2020,11,17
"373",NA,6,NA,2020-11-16,20.5,2020,11,16
"374",NA,5.5,NA,2020-11-15,1.3,2020,11,15
"375",NA,5.5,NA,2020-11-14,5.6,2020,11,14
"376",NA,6,NA,2020-11-13,31.7,2020,11,13
"377",NA,7.5,NA,2020-11-12,22.8,2020,11,12
"378",NA,5.5,NA,2020-11-11,0,2020,11,11
"379",NA,4.5,NA,2020-11-10,3.7,2020,11,10
"380",NA,4,NA,2020-11-09,2.1,2020,11,9
"381",NA,1.5,NA,2020-11-08,0,2020,11,8
"382",NA,4,NA,2020-11-07,0,2020,11,7
"383",NA,4,NA,2020-11-06,0,2020,11,6
"384",NA,6,NA,2020-11-05,0,2020,11,5
"385",NA,5.5,NA,2020-11-04,7.2,2020,11,4
"386",NA,8,NA,2020-11-03,34.6,2020,11,3
"387",NA,4.5,NA,2020-11-02,0,2020,11,2
"388",NA,2.5,NA,2020-11-01,0,2020,11,1
"389",NA,4,NA,2020-10-31,0,2020,10,31
"390",NA,4,NA,2020-10-30,3.6,2020,10,30
"391",NA,7.5,NA,2020-10-29,0,2020,10,29
"392",NA,7,NA,2020-10-28,0,2020,10,28
"393",NA,7.5,NA,2020-10-27,0,2020,10,27
"394",NA,6.5,NA,2020-10-26,0.6,2020,10,26
"395",NA,4,NA,2020-10-25,0,2020,10,25
"396",NA,1,NA,2020-10-24,0,2020,10,24
"397",NA,4.5,NA,2020-10-23,12.8,2020,10,23
"398",NA,5.5,NA,2020-10-22,0,2020,10,22
"399",NA,4,NA,2020-10-21,0,2020,10,21
"400",NA,6,NA,2020-10-20,0,2020,10,20
"401",NA,6.5,NA,2020-10-19,0,2020,10,19
"402",NA,8,NA,2020-10-18,10.8,2020,10,18
"403",NA,6.5,NA,2020-10-17,0.5,2020,10,17
"404",NA,6,NA,2020-10-16,2.7,2020,10,16
"405",NA,4.5,NA,2020-10-15,0.3,2020,10,15
"406",NA,5,NA,2020-10-14,0,2020,10,14
"407",NA,5,NA,2020-10-13,13.9,2020,10,13
"408",NA,4.5,NA,2020-10-12,0,2020,10,12
"409",NA,4.5,NA,2020-10-11,14.4,2020,10,11
"410",NA,5.5,NA,2020-10-10,12,2020,10,10
"411",NA,8,NA,2020-10-09,15.7,2020,10,9
"412",NA,7.5,NA,2020-10-08,0,2020,10,8
"413",NA,4,NA,2020-10-07,0,2020,10,7
"414",NA,4,NA,2020-10-06,0,2020,10,6
"415",NA,4,NA,2020-10-05,0,2020,10,5
"416",NA,7.5,NA,2020-10-04,0.2,2020,10,4
"417",NA,4,NA,2020-10-03,0,2020,10,3
"418",NA,2,NA,2020-10-02,0,2020,10,2
"419",NA,5,NA,2020-10-01,0,2020,10,1
"420",NA,3.5,NA,2020-09-30,0,2020,9,30
"421",NA,1.5,NA,2020-09-29,0,2020,9,29
"422",NA,4,NA,2020-09-28,0,2020,9,28
"423",NA,6,NA,2020-09-27,0,2020,9,27
"424",NA,5.5,NA,2020-09-26,2.6,2020,9,26
"425",NA,5,NA,2020-09-25,7.8,2020,9,25
"426",NA,7,NA,2020-09-24,12.8,2020,9,24
"427",NA,5.5,NA,2020-09-23,29.6,2020,9,23
"428",NA,5.5,NA,2020-09-22,0.8,2020,9,22
"429",NA,5,NA,2020-09-21,0,2020,9,21
"430",NA,5,NA,2020-09-20,0,2020,9,20
"431",NA,6,NA,2020-09-19,2.8,2020,9,19
"432",NA,5.5,NA,2020-09-18,0,2020,9,18
"433",NA,5,NA,2020-09-17,0,2020,9,17
"434",NA,5,NA,2020-09-16,0,2020,9,16
"435",NA,4,NA,2020-09-15,1.8,2020,9,15
"436",NA,2.5,NA,2020-09-14,1,2020,9,14
"437",NA,3.5,NA,2020-09-13,0,2020,9,13
"438",NA,1.5,NA,2020-09-12,0,2020,9,12
"439",NA,1,NA,2020-09-11,0,2020,9,11
"440",NA,1.5,NA,2020-09-10,0,2020,9,10
"441",NA,0,NA,2020-09-09,0,2020,9,9
"442",NA,1,NA,2020-09-08,0,2020,9,8
"443",NA,4,NA,2020-09-07,0,2020,9,7
"444",NA,5,NA,2020-09-06,0,2020,9,6
"445",NA,4,NA,2020-09-05,0,2020,9,5
"446",NA,4,NA,2020-09-04,0,2020,9,4
"447",NA,2,NA,2020-09-03,0,2020,9,3
"448",NA,4,NA,2020-09-02,0,2020,9,2
"449",NA,5.5,NA,2020-09-01,0,2020,9,1
"450",NA,5.5,NA,2020-08-31,0,2020,8,31
"451",NA,4.5,NA,2020-08-30,0,2020,8,30
"452",NA,4,NA,2020-08-29,0,2020,8,29
"453",NA,3.5,NA,2020-08-28,0,2020,8,28
"454",NA,1.5,NA,2020-08-27,0,2020,8,27
"455",NA,3.5,NA,2020-08-26,0,2020,8,26
"456",NA,4,NA,2020-08-25,0,2020,8,25
"457",NA,4,NA,2020-08-24,0.3,2020,8,24
"458",NA,6,NA,2020-08-23,0,2020,8,23
"459",NA,4,NA,2020-08-22,0,2020,8,22
"460",NA,5.5,NA,2020-08-21,7.6,2020,8,21
"461",NA,7.5,NA,2020-08-20,6.6,2020,8,20
"462",NA,4,NA,2020-08-19,0,2020,8,19
"463",NA,3,NA,2020-08-18,0,2020,8,18
"464",NA,2,NA,2020-08-17,0,2020,8,17
"465",NA,3.5,NA,2020-08-16,0,2020,8,16
"466",NA,0.5,NA,2020-08-15,0,2020,8,15
"467",NA,2.5,NA,2020-08-14,0,2020,8,14
"468",NA,3.5,NA,2020-08-13,0,2020,8,13
"469",NA,5,NA,2020-08-12,0,2020,8,12
"470",NA,4,NA,2020-08-11,0,2020,8,11
"471",NA,4,NA,2020-08-10,0,2020,8,10
"472",NA,1,NA,2020-08-09,0,2020,8,9
"473",NA,4.5,NA,2020-08-08,1.8,2020,8,8
"474",NA,7,NA,2020-08-07,4.6,2020,8,7
"475",NA,7,NA,2020-08-06,25.6,2020,8,6
"476",NA,2,NA,2020-08-05,0,2020,8,5
"477",NA,1,NA,2020-08-04,0,2020,8,4
"478",NA,3,NA,2020-08-03,0,2020,8,3
"479",NA,4,NA,2020-08-02,0,2020,8,2
"480",NA,3,NA,2020-08-01,0,2020,8,1
